epoch,score,epsilon,lr,buffer
1,0.7041085,1.0,0.0001,2499
2,0.3222304,0.9232611081299583,9.998290049719433e-05,4998
3,0.319142584,0.7559566913657763,9.979048586115887e-05,7497
4,0.31548332,0.6189695571366485,9.938503119415e-05,9996
5,0.31581564,0.5068059017637049,9.876827132709538e-05,12495
6,0.31696412,0.41496745534743096,9.794284520876048e-05,14994
7,0.472227114,0.33977108079891166,9.69122846143988e-05,17493
8,0.39297162999999996,0.2782010633836472,9.568099903424044e-05,19992
9,0.46145278,0.22778816692053133,9.425425680647404e-05,22491
10,0.2969436558,0.18651060624258545,9.263816257545458e-05,24990
11,0.30886815999999995,0.15271296446716903,9.083963117157623e-05,27489
12,0.53274648,0.1250398032914975,8.886635802458627e-05,29988
13,0.55255034,0.10238130378601688,8.672678623691881e-05,32487
14,0.30962996,0.0838287576355891,8.443007045794088e-05,34986
15,0.49251316999999994,0.06863812382594503,8.198603771368471e-05,37485
16,0.34855046999999995,0.05620018923369618,7.940514535965761e-05,39984
